sequenceID	designation	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage	outgroup
MW946819.1_1999	3II_A.4	3	3II	3II_A	3II_A.4	3II_A.4		
MN448990.1_2011-12-27	3II_A.5	3	3II	3II_A	3II_A.5	3II_A.5		
MN448977.1_2010-05-18	3II_A.5	3	3II	3II_A	3II_A.5	3II_A.5		
MW946926.1_1999	3II_A.5	3	3II	3II_A	3II_A.5	3II_A.5		
MW946934.1_2011	3II_A.5	3	3II	3II_A	3II_A.5	3II_A.5		
KU509280.1_2011	3II_A.5	3	3II	3II_A	3II_A.5	3II_A.5		
KY586777.1_1999	3II_A.5	3	3II	3II_A	3II_A.5	3II_A.5		
EU081214.1_2005	3III_A.1	3	3III	3III_A	3III_A.1	3III_A.1		
EU081217.1_2005	3III_A.1	3	3III	3III_A	3III_A.1	3III_A.1		
EU081210.1_2005	3III_A.1	3	3III	3III_A	3III_A.1	3III_A.1		
EU081225.1_2005	3III_A.1	3	3III	3III_A	3III_A.1	3III_A.1		
KU509283.1_2006	3III_A.1	3	3III	3III_A	3III_A.1	3III_A.1		
KJ830751.1_2014-01-26	3III_A.2	3	3III	3III_A	3III_A.2	3III_A.2		
MH048677.1_2014-12	3III_A.2	3	3III	3III_A	3III_A.2	3III_A.2		
LT996904.1_2007	3III_A.2	3	3III	3III_A	3III_A.2	3III_A.2		
MG721059.2_2016	3III_A.2	3	3III	3III_A	3III_A.2	3III_A.2		
OP410993.1_2008-09	3III_A.2	3	3III	3III_A	3III_A.2	3III_A.2		
EU482559.1_1998	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
KF955467.1_2000	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
FJ547077.1_2000	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
EU687219.1_1999	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
EU482566.1_1998	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
FJ390375.1_1999	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
FJ410178.1_2002	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
FJ547074.1_2000	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
FJ547081.1_2001	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
GQ868578.1_2007	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
OQ821502.1_2021-08-12	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
EU596494.1_2007	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
OQ603309.1_2015-09-15	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
OQ603311.1_2015	3III_C.1	3	3III	3III_C	3III_C.1	3III_C.1		
OQ603310.1_2015	3III_C.2	3	3III	3III_C	3III_C.2	3III_C.2		
OK605762.1_2007	3III_C.2	3	3III	3III_C	3III_C.2	3III_C.2		
OM417341.1_2021-09-19	3III_C.2	3	3III	3III_C	3III_C.2	3III_C.2		
OM417340.1_2021-09-21	3III_C.2	3	3III	3III_C	3III_C.2	3III_C.2		
MH888333.1_2011-01-01	3III_C.2	3	3III	3III_C	3III_C.2	3III_C.2		
KF971702.1_2009	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
HM631856.1_2009	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
HM181972.1_2009	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
JF920394.1_2009	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
MZ008476.1_2014	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
MW308181.1_2019-08-22	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
OM417340.1_2021-09-21	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
MZ008474.1_2013	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
MZ008472.1_2013	3III_C.2.1	3	3III	3III_C	3III_C.2	3III_C.2		
GU131850.1_2006	3III_C.2.2	3	3III	3III_C	3III_C.2	3III_C.2		
GU131876.1_2007	3III_C.2.2	3	3III	3III_C	3III_C.2	3III_C.2		
GU131870.1_2007	3III_C.2.2	3	3III	3III_C	3III_C.2	3III_C.2		
GU131872.1_2007	3III_C.2.2	3	3III	3III_C	3III_C.2	3III_C.2		
GU131861.1_2007	3III_C.2.2	3	3III	3III_C	3III_C.2	3III_C.2		
MH888333.1_2011-01-01	3III_C.2.2	3	3III	3III_C	3III_C.2	3III_C.2		
MN018378.1_2015-09-30	3III_B.1	3	3III	3III_B	3III_B.1	3III_B.1		
JQ922557.1_2005	3III_B.1	3	3III	3III_B	3III_B.1	3III_B.1		
EHIE21409Y22_2022	3III_B.1	3	3III	3III_B	3III_B.1	3III_B.1		
MN018375.1_2015-10-23	3III_B.1	3	3III	3III_B	3III_B.1	3III_B.1		
MG721064.1_2016	3III_B.1	3	3III	3III_B	3III_B.1	3III_B.1		
JQ922556.1_2005	3III_B.1	3	3III	3III_B	3III_B.1	3III_B.1		
MN964273.1_2019-11-09	3III_B.2	3	3III	3III_B	3III_B.2	3III_B.2		
MT261977.1_2017-10-12	3III_B.2	3	3III	3III_B	3III_B.2	3III_B.2		
MW288031.1_2018-11	3III_B.2	3	3III	3III_B	3III_B.2	3III_B.2		
KU509282.1_2009	3III_B.2	3	3III	3III_B	3III_B.2	3III_B.2		
LC379197.1_2017-04-15	3III_B.2	3	3III	3III_B	3III_B.2	3III_B.2		
ON900159.1_2019-06-01	3III_B.3	3	3III	3III_B	3III_B.3	3III_B.3		
ON123655.1_2020	3III_B.3	3	3III	3III_B	3III_B.3	3III_B.3		
OP895705.1_2018	3III_B.3	3	3III	3III_B	3III_B.3	3III_B.3		
OQ721955.1_2022	3III_B.3	3	3III	3III_B	3III_B.3	3III_B.3		
OQ948474.1_2019-09	3III_B.3.1	3	3III	3III_B	3III_B.3	3III_B.3		
ON900159.1_2019-06-01	3III_B.3.1	3	3III	3III_B	3III_B.3	3III_B.3		
OQ821611.1_2020-11-07	3III_B.3.1	3	3III	3III_B	3III_B.3	3III_B.3		
OQ821609.1_2019-11-06	3III_B.3.1	3	3III	3III_B	3III_B.3	3III_B.3		
OQ821604.1_2019-01-15	3III_B.3.1	3	3III	3III_B	3III_B.3	3III_B.3		
MK894340.1_2018-10-16	3III_B.3.1	3	3III	3III_B	3III_B.3	3III_B.3		
MN018385.1_2016-09-20	3III_B.3.1	3	3III	3III_B	3III_B.3	3III_B.3		
ON123658.1_2019	3III_B.3.1	3	3III	3III_B	3III_B.3	3III_B.3		
OQ857506.1_2022-10-05	3III_B.3.2	3	3III	3III_B	3III_B.3	3III_B.3		
OQ836209.1_2023-01-24	3III_B.3.2	3	3III	3III_B	3III_B.3	3III_B.3		
OQ821520.1_2022-08-18	3III_B.3.2	3	3III	3III_B	3III_B.3	3III_B.3		
OR150747.1_2022-12-23	3III_B.3.2	3	3III	3III_B	3III_B.3	3III_B.3		
OQ821574.1_2022-11-07	3III_B.3.2	3	3III	3III_B	3III_B.3	3III_B.3		
OQ821582.1_2022-11-30	3III_B.3.2	3	3III	3III_B	3III_B.3	3III_B.3		
OQ821509.1_2022-08-05	3III_B.3.2	3	3III	3III_B	3III_B.3	3III_B.3		
OR150749.1_2023-01-06	3III_B.3.2	3	3III	3III_B	3III_B.3	3III_B.3		
OK469358.1_1976	4I_A.1	4	4I	4I_A	4I_A.1	4I_A.1		
MW945498.1_2010	4I_A.1	4	4I	4I_A	4I_A.1	4I_A.1		
KY586942.1_2006	4I_A.1	4	4I	4I_A	4I_A.1	4I_A.1		
MN018394.1_2015-10-03	4I_A.1	4	4I	4I_A	4I_A.1	4I_A.1		
MZ976860.1_2020-08-03	4I_A.1	4	4I	4I_A	4I_A.1	4I_A.1		
OQ427048.1_2019-01-15	4I_A.1	4	4I	4I_A	4I_A.1	4I_A.1		
PP269983.1_2011-12-29	4I_A.1.1	4	4I	4I_A	4I_A.1	4I_A.1		
OQ426982.1_2018-12-18	4I_A.1.1	4	4I	4I_A	4I_A.1	4I_A.1		
MZ976860.1_2020-08-03	4I_A.1.1	4	4I	4I_A	4I_A.1	4I_A.1		
OQ427061.1_2018-12-24	4I_A.1.1	4	4I	4I_A	4I_A.1	4I_A.1		
OQ427042.1_2019-01-08	4I_A.1.1	4	4I	4I_A	4I_A.1	4I_A.1		
OQ427048.1_2019-01-15	4I_A.1.1	4	4I	4I_A	4I_A.1	4I_A.1		
OQ427041.1_2019-01-07	4I_A.1.2	4	4I	4I_A	4I_A.1	4I_A.1		
OQ427046.1_2019-01-15	4I_A.1.2	4	4I	4I_A	4I_A.1	4I_A.1		
OQ427047.1_2019-01-15	4I_A.1.2	4	4I	4I_A	4I_A.1	4I_A.1		
MN018394.1_2015-10-03	4I_A.1.2	4	4I	4I_A	4I_A.1	4I_A.1		
OQ427062.1_2018-12-25	4I_A.1.2	4	4I	4I_A	4I_A.1	4I_A.1		
KY586922.1_1998	4I_A.2	4	4I	4I_A	4I_A.2	4I_A.2		
MW945665.1_2002	4I_A.2	4	4I	4I_A	4I_A.2	4I_A.2		
KY586903.1_2000	4I_A.2	4	4I	4I_A	4I_A.2	4I_A.2		
MW945553.1_2006	4I_A.2	4	4I	4I_A	4I_A.2	4I_A.2		
JN638572.1_2008	4I_A.2	4	4I	4I_A	4I_A.2	4I_A.2		
MN018395.1_2015-10-20	4I_A.2	4	4I	4I_A	4I_A.2	4I_A.2		
MW945653.1_2008	4I_A.2	4	4I	4I_A	4I_A.2	4I_A.2		
MW945533.1_2013	4I_A.2	4	4I	4I_A	4I_A.2	4I_A.2		
MW945648.1_2005	4I_A.3	4	4I	4I_A	4I_A.3	4I_A.3		
MW788999.1_2018-05	4I_A.3	4	4I	4I_A	4I_A.3	4I_A.3		
MN449006.1_2012-07-16	4I_A.3	4	4I	4I_A	4I_A.3	4I_A.3		
MN018397.1_2016-02-01	4I_A.3	4	4I	4I_A	4I_A.3	4I_A.3		
LC410203.1_2017-06	4I_A.3	4	4I	4I_A	4I_A.3	4I_A.3		
OP984198.1_2018	4I_B.1	4	4I	4I_B	4I_B.1	4I_B.1		
KF041260.1_2009	4I_B.1	4	4I	4I_B	4I_B.1	4I_B.1		
MG272272.1_2016	4I_B.1	4	4I	4I_B	4I_B.1	4I_B.1		
MN018398.1_2016-08-16	4I_B.1	4	4I	4I_B	4I_B.1	4I_B.1		
OM639995.1_2021-11-16	4I_B.1	4	4I	4I_B	4I_B.1	4I_B.1		
KX059018.1_2012-04	4I_B.2	4	4I	4I_B	4I_B.2	4I_B.2		
KX059032.1_2012-09	4I_B.2	4	4I	4I_B	4I_B.2	4I_B.2		
KX059026.1_2013-02	4I_B.2	4	4I	4I_B	4I_B.2	4I_B.2		
KX059029.1_2012-08	4I_B.2	4	4I	4I_B	4I_B.2	4I_B.2		
MK858146.2_2016-07-03	4I_B.2	4	4I	4I_B	4I_B.2	4I_B.2		
KU509287.1_2009	4I_B.2	4	4I	4I_B	4I_B.2	4I_B.2		
KX059015.1_2012-07	4I_B.2	4	4I	4I_B	4I_B.2	4I_B.2		
KX845005.1_2015	4I_B.2	4	4I	4I_B	4I_B.2	4I_B.2		
MH382789.1_2016	4II_A.1	4	4II	4II_A	4II_A.1	4II_A.1		
KY921909.1_2016-03	4II_A.1	4	4II	4II_A	4II_A.1	4II_A.1		
OQ821649.1_2016-03-21	4II_A.1	4	4II	4II_A	4II_A.1	4II_A.1		
OP411002.1_2019-07	4II_A.1	4	4II	4II_A	4II_A.1	4II_A.1		
OP600478.1_2020-08	4II_A.1	4	4II	4II_A	4II_A.1	4II_A.1		
OL314741.1_2019-06-20	4II_A.1	4	4II	4II_A	4II_A.1	4II_A.1		
OP600512.1_2022-07	4II_A.1	4	4II	4II_A	4II_A.1	4II_A.1		
KC762699.1_2008-03-28	4II_A.2	4	4II	4II_A	4II_A.2	4II_A.2		
JF741967.1_2010-09-26	4II_A.2	4	4II	4II_A	4II_A.2	4II_A.2		
KC762698.1_2008-04-30	4II_A.2	4	4II	4II_A	4II_A.2	4II_A.2		
KP723482.1_2010	4II_A.2	4	4II	4II_A	4II_A.2	4II_A.2		
KC762696.1_2007-08-13	4II_A.2	4	4II	4II_A	4II_A.2	4II_A.2		
OR389007.1_2000	1V_H	1	1V	1V_H	1V_H	1V_H		
FJ850073.1_2001	1V_H	1	1V	1V_H	1V_H	1V_H		
KF672764.1_2001	1V_H	1	1V	1V_H	1V_H	1V_H		
JX669469.1_1997	1V_H	1	1V	1V_H	1V_H	1V_H		
OK605754.1_1997	1V_H	1	1V	1V_H	1V_H	1V_H		
AB519681.1_2001	1V_H	1	1V	1V_H	1V_H	1V_H		
EU482567.1_1998	1V_J	1	1V	1V_J	1V_J	1V_J		
FJ205875.1_1995	1V_J	1	1V	1V_J	1V_J	1V_J		
KF955437.1_1998	1V_J	1	1V	1V_J	1V_J	1V_J		
FJ410184.1_1993	1V_J	1	1V	1V_J	1V_J	1V_J		
FJ390380.1_1998	1V_J	1	1V	1V_J	1V_J	1V_J		
FJ850085.1_2005	2III_E	2	2III	2III_E	2III_E	2III_E		
EU482545.1_1998	2III_E	2	2III	2III_E	2III_E	2III_E		
EU920840.1_2005-10	2III_E	2	2III	2III_E	2III_E	2III_E		
EU920835.1_2002-04	2III_E	2	2III	2III_E	2III_E	2III_E		
FJ850088.1_2006	2III_E	2	2III	2III_E	2III_E	2III_E		
PP269752.1_2016-12-21	1I_E.4	1	1I	1I_E	1I_E.4	1I_E.4		
MW265665.1_2016-08-07	1I_E.4	1	1I	1I_E	1I_E.4	1I_E.4		
PP269634.1_2015-10-12	1I_E.4	1	1I	1I_E	1I_E.4	1I_E.4		
PP269735.1_2015-12-22	1I_E.4	1	1I	1I_E	1I_E.4	1I_E.4		
MW265666.1_2016-08-22	1I_E.4	1	1I	1I_E	1I_E.4	1I_E.4		
OQ567790.1_2016-01-24	1V_E.4	1	1V	1V_E	1V_E.4	1V_E.4		
OQ567778.1_2015-05-13	1V_E.4	1	1V	1V_E	1V_E.4	1V_E.4		
OQ567786.1_2016-01-29	1V_E.4	1	1V	1V_E	1V_E.4	1V_E.4		
OQ567781.1_2015-12-18	1V_E.4	1	1V	1V_E	1V_E.4	1V_E.4		
OQ567798.1_2017-04-26	1V_E.4	1	1V	1V_E	1V_E.4	1V_E.4		
OP898557.1_2022-04	1III_A.1	1	1III	1III_A	1III_A.1	1III_A.1		
OR936768.1_2023-09-12	1III_A.1	1	1III	1III_A	1III_A.1	1III_A.1		
OR936761.1_2023-09-13	1III_A.1	1	1III	1III_A	1III_A.1	1III_A.1		
OR936764.1_2023-09-12	1III_A.1	1	1III	1III_A	1III_A.1	1III_A.1		
OR936755.1_2023-09-04	1III_A.1	1	1III	1III_A	1III_A.1	1III_A.1		
ON123661.1_2018	1III_A.4	1	1III	1III_A	1III_A.4	1III_A.4		
PP234949.1_2019-07-01	1III_A.4	1	1III	1III_A	1III_A.4	1III_A.4		
OR394051.1_2020-01-06	1III_A.4	1	1III	1III_A	1III_A.4	1III_A.4		
OR394016.1_2019-10-30	1III_A.4	1	1III	1III_A	1III_A.4	1III_A.4		
ON680908.1_2020-08-24	1III_A.4	1	1III	1III_A	1III_A.4	1III_A.4		
MF033212.1_2013-12	1III_A.3	1	1III	1III_A	1III_A.3	1III_A.3		
ON123656.1_2019	1III_A.3	1	1III	1III_A	1III_A.3	1III_A.3		
ON109597.1_2021	1III_A.3	1	1III	1III_A	1III_A.3	1III_A.3		
MH891771.1_2017-10-22	1III_A.3	1	1III	1III_A	1III_A.3	1III_A.3		
MK588397.1_2017-04-22	1III_A.3	1	1III	1III_A	1III_A.3	1III_A.3		
ON123650.1_2020	1III_A.3	1	1III	1III_A	1III_A.3	1III_A.3		
OR235532.1_2022-04	1III_A.2	1	1III	1III_A	1III_A.2	1III_A.2		
OR235645.1_2021-06	1III_A.2	1	1III	1III_A	1III_A.2	1III_A.2		
OR259175.1_2021-09	1III_A.2	1	1III	1III_A	1III_A.2	1III_A.2		
OR259174.1_2021-07	1III_A.2	1	1III	1III_A	1III_A.2	1III_A.2		
OR235733.1_2019-12	1III_A.2	1	1III	1III_A	1III_A.2	1III_A.2		
PP564661.1_2023-10-30	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	3	
PP564586.1_2023-10-01	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	3	
OR448787.1_2023-06	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	3	
PP564601.1_2023-10-02	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	3	
OR821724.1_2022-09	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	3	
PP411252.1_2022-06-20	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.4	4	
PP446693.1_2022-10-06	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.4	4	
PP411257.1_2022-07-05	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.4	4	
PP446692.1_2022-09-05	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.4	4	
PP411235.1_2022-06-07	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.4	4	
PP326753.1_2023-05-11	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.5	5	
PP326828.1_2023-12-13	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.5	5	
OR771147.1_2023-07-20	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.5	5	
OQ851873.1_2022-10-21	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.5	5	
PP082863.1_2023-04	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.6	6	
PP082838.1_2023-11	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.6	6	
PP082846.1_2023-09	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.5	5	
PP082862.1_2023-04	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.6	6	
PP082833.1_2023-12	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.6	6	
PP082853.1_2023-07	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.6	6	
PP082854.1_2023-07	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.6	6	
PP082832.1_2023-12	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.6	6	
PP269908.1_2022-10-11	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1		
MK411559.1_2016-02-23	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1		
EPI_ISL_17831898_2023-05-09	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1		
MW512463.1_2016	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1		
MK564476.1_2017-08-08	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1		
KT187557.1_2014	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1		
MW721466.1_2014-10	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1		
KX225485.1_2015	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1		
MW721468.1_2014-10	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1		
KP012546.1_2014	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1		
KT187553.1_2014	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1		
OR236087.1_2014-05	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1		
OR236115.1_2014-12	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1		
KX655788.1_2015	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1		
MZ857214.1_2014	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1		
OR236114.1_2014-03	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1		
OR236116.1_2014-05	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1		
OP684207.1_2019-10-13	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
MW512370.1_2012	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
MH822944.1_2012-10-08	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
MK858115.2_2017-09-08	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
ON109598.1_2021	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
ON123651.1_2020	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
KY937189.1_2015	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
OP684211.1_2019-10-19	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
KY937187.1_2015	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	1	
MH891768.1_2016-10-26	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	2	
MH822940.1_2014	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	2	
MW512412.1_2014	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	2	
OR236112.1_2016-05	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	2	
OR236111.1_2016-05	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	2	
MN083246.1_2017-11	3I_A.1.1	3	3I	3I_A	3I_A.1	3I_A.1		
OR393976.1_2019-07-22	3I_A.1.1	3	3I	3I_A	3I_A.1	3I_A.1		
MT006158.1_2018-06-19	3I_A.1.1	3	3I	3I_A	3I_A.1	3I_A.1		
OR394032.1_2019-11-29	3I_A.1.1	3	3I	3I_A	3I_A.1	3I_A.1		
OR393978.1_2019-08-05	3I_A.1.1	3	3I	3I_A	3I_A.1	3I_A.1		
OR393950.1_2019-01-03	3I_A.1.1	3	3I	3I_A	3I_A.1	3I_A.1		
PP766873.1_2023-06-05	3I_A.1.1	3	3I	3I_A	3I_A.1	3I_A.1		
MF682966.1_2016-09-07	3I_A.1.2	3	3I	3I_A	3I_A.1	3I_A.1		
MF682970.1_2016-09-15	3I_A.1.2	3	3I	3I_A	3I_A.1	3I_A.1		
MF682968.1_2016-09-10	3I_A.1.2	3	3I	3I_A	3I_A.1	3I_A.1		
MW295815.1_2020-09-07	3I_A.1.2	3	3I	3I_A	3I_A.1	3I_A.1		
MW788901.1_2018-08	3I_A.1.2	3	3I	3I_A	3I_A.1	3I_A.1		
KJ596665.1_2012-03-20	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
KJ596673.1_2012-02-29	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
KJ596660.1_2012-04-03	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
PP530047.1_2014-07	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
PP530058.1_2015-05-12	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
OQ567848.1_2016-03-07	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
OQ567863.1_2020-01-13	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
PP530050.1_2015-11-15	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
JN559741.2_2010-07-21	4II_B.1.1	4	4II	4II_B	4II_B.1	4II_B.1		
OQ445966.1_2022-10-26	4II_B.1	4	4II	4II_B	4II_B.1	4II_B.1		
KY474335.1_2014	4II_B.1	4	4II	4II_B	4II_B.1	4II_B.1		
PP530058.1_2015-05-12	4II_B.1	4	4II	4II_B	4II_B.1	4II_B.1		
OQ567863.1_2020-01-13	4II_B.1	4	4II	4II_B	4II_B.1	4II_B.1		
FJ850095.1_2000	4II_B.1	4	4II	4II_B	4II_B.1	4II_B.1		
OQ603316.1_2013-09-18	4II_B.1	4	4II	4II_B	4II_B.1	4II_B.1		
OR654276.1_2023-05-31	4II_B.1.2	4	4II	4II_B	4II_B.1	4II_B.1		
OQ445966.1_2022-10-26	4II_B.1.2	4	4II	4II_B	4II_B.1	4II_B.1		
OQ445963.1_2022-08-10	4II_B.1.2	4	4II	4II_B	4II_B.1	4II_B.1		
OR977094.1_2023-11-10	4II_B.1.2	4	4II	4II_B	4II_B.1	4II_B.1		
OR162320.1_2022-11-15	4II_B.1.2	4	4II	4II_B	4II_B.1	4II_B.1		
GQ868583.1_2004	4II_B.1	4	4II	4II_B	4II_B.1	4II_B.1		
FJ850059.1_1998	4II_B.2	4	4II	4II_B	4II_B.2	4II_B.2		
PP692469.1_2023-12-23	4II_B.2	4	4II	4II_B	4II_B.2	4II_B.2		
OM417339.1_2011-10-10	4II_B.2	4	4II	4II_B	4II_B.2	4II_B.2		
OR821957.1_2023-10-12	4II_B.2	4	4II	4II_B	4II_B.2	4II_B.2		
OM417338.1_2010-10-27	4II_B.2	4	4II	4II_B	4II_B.2	4II_B.2		
OQ445967.1_2022-11-03	4II_B.2	4	4II	4II_B	4II_B.2	4II_B.2		
FJ410230.1_2008	1I_E.4_outgroup	1	1I	1I_E	1I_E.4	1I_E.4		outgroup
MW946053.1_2010	1V_E.4_outgroup	1	1V	1V_E	1V_E.4	1V_E.4		outgroup
LC436668.1_2017-11	1III_A.1_outgroup	1	1III	1III_A	1III_A.1	1III_A.1		outgroup
MH822959.2_2012	1III_A.4_outgroup	1	1III	1III_A	1III_A.4	1III_A.4		outgroup
JF960211.2_2009	1III_A.3_outgroup	1	1III	1III_A	1III_A.3	1III_A.3		outgroup
MK858117.2_2016-08-26	1III_A.2_outgroup	1	1III	1III_A	1III_A.2	1III_A.2		outgroup
PP757868.1_2023-08-30	2II_F.1.1.3_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.3	3	outgroup
MN923109.1_2019-07-08	2II_F.1.1.4_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.4	4	outgroup
OM730078.1_2021-11-16	2II_F.1.1.5_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.5	5	outgroup
PP757871.1_2022-06-18	2II_F.1.1.6_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.6	6	outgroup
MW512447.1_2015	2II_F.1.3_outgroup	2	2II	2II_F	2II_F.1	2II_F.1		outgroup
MK564478.1_2016-04-22	2II_D.1.1_outgroup	2	2II	2II_D	2II_D.1	2II_D.1		outgroup
MW512415.1_2014	2II_D.1.2_outgroup	2	2II	2II_D	2II_D.1	2II_D.1		outgroup
JQ955624.1_2011	2II_A.1.1.1_outgroup	2	2II	2II_A	2II_A.1	2II_A.1.1	1	outgroup
MZ857221.1_2017	2II_A.1.1.2_outgroup	2	2II	2II_A	2II_A.1	2II_A.1.2	2	outgroup
MH823209.1_2016	3I_A.1.1_outgroup	3	3I	3I_A	3I_A.1	3I_A.1		outgroup
OR236121.1_2016-02	3I_A.1.2_outgroup	3	3I	3I_A	3I_A.1	3I_A.1		outgroup
JN819409.1_1998	4II_B.1_outgroup	4	4II	4II_B	4II_B.1	4II_B.1		outgroup
HQ332176.1_2007	4II_B.1.1_outgroup	4	4II	4II_B	4II_B.1	4II_B.1		outgroup
HQ332174.1_2007	4II_B.1.2_outgroup	4	4II	4II_B	4II_B.1	4II_B.1		outgroup
OR389346.1_1987	4II_B.2_outgroup	4	4II	4II_B	4II_B.2	4II_B.2.		outgroup
